"#","Reference","Qty","MPN","Description","Value","Package","LCSC","Link","DNP"
"1","C3","1","TAJA476K006RNJ","47uF 6.3V 1.6Ω@100kHz ±10%","47uF"," CASE-A-3216-18(mm)","C7190","https://www.lcsc.com/product-detail/Tantalum-Capacitors_Kyocera-AVX-TAJA476K006RNJ_C7190.html",""
"2","C1,C2","2","CC0603JRX7R9BB473"," 50V 47nF X7R ±5%","47nF","0603","C519554","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0603JRX7R9BB473_C519554.html",""
"3","C14,C15","2","CC0402FRNPO9BN150"," 50V 15pF NP0 ±1%","15pF","0402","C326803","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402FRNPO9BN150_C326803.html",""
"4","C4,C23","2","CL21A106KPFNNNE","10V 10uF X5R ±10%","10uF","0805","C17024","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A106KPFNNNE_C17024.html",""
"5","C5,C6,C7,C9,C10,C11,C24,C25,C32","9","CC0402KRX7R5BB104"," 6.3V 100nF X7R ±10%","100nF","0402","C541406","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0402KRX7R5BB104_C541406.html",""
"6","C8,C26,C27,C33,C34","5","CL05A105KQ5NNNC"," 6.3V 1uF X5R ±10%","1uF","0402","C107372","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A105KQ5NNNC_C107372.html",""
"7","D3,D6,D7,D14,D15,D16","6","B5819WT","40V Independent Type 1A 550mV","M7C","SOD-523","C5364321","https://www.lcsc.com/product-detail/Schottky-Diodes_LGE-B5819WT_C5364321.html",""
"8","D4,D5,D8,D11,D12,D13","6","BAS16VY,115","3 Independent 200mA 1.25V@150mA 100V","BAS16VY,115","SOT-363","C135826","https://www.lcsc.com/product-detail/Diodes-General-Purpose_Nexperia-BAS16VY-115_C135826.html",""
"9","D9,D10","2","CUS08F30","SOD-323 Schottky Diodes ROHS ","CUS08F30","SOD-323","C27636112","https://www.lcsc.com/product-detail/Schottky-Diodes_DOWO-CUS08F30_C27636112.html",""
"10","J3","1","N/A","GameCube Pinout","Conn_01x06_Pin","","","","DNP"
"11","J11","1","ZX-PZ2.0-1-5PZZ "," Gold 500V 1.5A Direct Insert Policy 2mm","Conn_01x05_Pin"," Plugin,P=2mm","C7501286","https://www.lcsc.com/product-detail/Pin-Headers_Megastar-ZX-PZ2-0-1-5PZZ_C7501286.html",""
"12","J1,J10","2","SM02B-SURS-TF(LF)(SN)","Connector Header Surface Mount, Right Angle 2 position 0.031 (0.80mm)","SM02B-SURS-TF_LF__SN_","SMD,P=0.8mm,Surface Mount，Right Angle","C566239","https://www.lcsc.com/product-detail/Wire-To-Board-Connector_JST-SM02B-SURS-TF-LF-SN_C566239.html",""
"13","J2,J13","2","5034800640","Flip type -40℃~+85℃ 6P Dual-sided contacts / top and bottom connection Horizontal attachment 0.5mm SMD,P=0.5mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS"," Flip type -40℃~+85℃ 6P Dual-sided contacts / top and bottom connection Horizontal attachment 0.5mm SMD,P=0.5mm,Surface Mount","6P Dual-sided contacts / top and bottom connection Horizontal attachment 0.5mm SMD,P=0.5mm","C3168077","https://www.lcsc.com/product-detail/FFC-FPC-Flat-Flexible-Connector-Assemblies_MOLEX-5034800640_C3168077.html",""
"14","J6,J7","2"," BX-PH2.0-2PZZ","1x2P 2P 1 PH Tin 2mm","1x2P 2P 1 PH Tin 2mm","Plugin,P=2mm","C18077744","https://www.lcsc.com/product-detail/Wire-To-Board-Connector_Bossie-BX-PH2-0-2PZZ_C18077744.html",""
"15","L5","1","MIP25202R2MBE","1.3A 2.2uH ±20% 80mΩ 1008 Inductors (SMD) ROHS ","1.3A 2.2uH ±20% 80mΩ","1008","C315721","https://www.lcsc.com/product-detail/Inductors-SMD_INPAQ-MIP25202R2MBE_C315721.html",""
"16","L6","1","SK6805-EC-15"," 0606 RGB LEDs(Built-in IC) ROHS ","SK6805-EC-15","0606","C2890035","https://www.lcsc.com/product-detail/RGB-LEDs-Built-in-IC_OPSCO-Optoelectronics-SK6805-EC15_C2890035.html",""
"17","Q4","1","BSS138DW-7-F"," 50V 200mA 200mW 3.5Ω@10V,220mA 1.5V@250uA 2 N-Channel","BSS138DW","SC-70-6(SOT-363)","C154900","https://www.lcsc.com/product-detail/MOSFETs_Diodes-Incorporated-BSS138DW-7-F_C154900.html",""
"18","Q5,Q6","2","MMBT2222A"," 20V 300mW 100@150mA,10V 350mA NPN","MMBT2222A","SOT-23","C916372","https://www.lcsc.com/product-detail/Bipolar-BJT_JSMSEMI-MMBT2222A_C916372.html",""
"19","R11","1","RC0402FR-07330RL ","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 330Ω","330R","0402","C105875","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-07330RL_C105875.html",""
"20","R1,R2,R10,R12,R25,R28","6","RC0402FR-071KL","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ","1k","0402","C106235","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-071KL_C106235.html",""
"21","R3,R32,R40","3","RC0402FR-07100RL","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 100Ω","100R","0402","C106232","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-07100RL_C106232.html",""
"22","R33,R34,R35,R41","4","RC0402FR-070RL ","62.5mW Thick Film Resistors 50V ±1% 0Ω","0R","0402","C106231","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-070RL_C106231.html",""
"23","R4,R36,R37,R38","4","RC0402FR-0775KL ","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 75kΩ","75k","0402","C137935","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-0775KL_C137935.html",""
"24","R5,R31,R39","3","RC0402FR-0710KL"," 62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ","10k","0402","C60490","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-0710KL_C60490.html",""
"25","R6,R7","2","RC0201FR-0727RL "," 50mW Thick Film Resistors 25V ±1% ±200ppm/℃ 27Ω","27R","0201","C273268","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0201FR-0727RL_C273268.html",""
"26","S1,S2,S3,S4,S5,S6","6","4015-0-43-80-30-27-10-0","Connector Accessories ROHS ","4015-0-43-80-30-27-10-0","-","C17526581","https://www.lcsc.com/product-detail/Connector-Accessories_Mill-Max-Mfg-Corp-4015-0-43-80-30-27-10-0_C17526581.html",""
"27","SW6","1","GL1807SYAE-002","TMR Analog Stick with button","GL18_SW","-","","",""
